Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.12391,0.084904,0.0506,0,0,0,2.9143,0.0061741,-7.1545E-07,-1.2654E-05,0.0055345,-3.5133E-07,0.01105,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.045568,0.048067,0.0027897,0,0,0,0.090992,6.1435E-05,-1.6485E-08,-1.5645E-07,1.7194E-05,2.9641E-09,5.6908E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.054044,0.18241,-0.0611,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LFW,0.015,0,6.9389E-18,0,0,0,0.76708,0.0011643,-1.2511E-22,-1.8331E-20,0.00063966,-6.7763E-21,0.00063966,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,0.017799,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.01919,0.048042,0.051819,0,0,0,0.090992,6.1435E-05,-1.6485E-08,1.5645E-07,1.7194E-05,-2.9641E-09,5.6908E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.10307,-0.042784,-0.0611,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RFW,-0.015,-3.4694E-18,0,0,0,0,0.76708,0.0011643,-5.6985E-26,-4.6558E-26,0.00063966,-2.0329E-20,0.00063966,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,0.017801,0.064073,-0.1592,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0,-0.019925,0,0,0,0,0.11253,0.00017713,6.3363E-21,7.7534E-20,8.273E-05,3.2401E-20,0.00017693,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,Axis_LBS,LBS,prismatic,-0.202,0.228,0,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LBW,6.9389E-18,0,-2.7756E-17,0,0,0,0.47957,0.00023542,-7.2576E-39,3.4442E-40,0.00023758,-7.8066E-40,0.00023542,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,continuous,0,-0.0633,0,0,0,-1.5708,LBS,0,1,0,0,0,0,0,,,0.001,,,,,
RBS,0,-0.019925,-5.5511E-17,0,0,0,0.11253,0.00017713,1.256E-20,9.1324E-20,8.273E-05,3.2401E-20,0.00017693,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,Axis_RBS,RBS,prismatic,-0.202,-0.062003,0,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RBW,0,-2.7756E-17,0,0,0,0,0.47957,0.00023542,7.2576E-39,3.4442E-40,0.00023758,-7.6906E-40,0.00023542,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,continuous,0,-0.0633,0,0,0,-1.5708,RBS,0,1,0,0,0,0,0,,,0.001,,,,,
fcam,-0.011554,-2.6443E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8502E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.083,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.020103,-2.6435E-06,-0.0072587,0,0,0,0.043612,2.3571E-05,-1.0183E-09,2.1758E-08,4.2948E-06,-8.8548E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0,0.083,0.091232,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.013523,0.00046196,-0.028765,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,-0.19458,0.082006,0.2065,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0.0038502,6.2398E-05,-0.0010338,0,0,0,0.0018918,7.7943E-08,1.3921E-10,1.5451E-11,4.8547E-08,-6.301E-11,1.2523E-07,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-1,imu_link,,imu_link,fixed,-0.039,0.083,0.155,0,0,0,base_link,0,0,0,,,,,,,,,,,,
